StdInChIKey,SMILES,LogS,T,Source
CUCUKLJLRRAKFN-KKIBXBACSA-N,CC(=O)C1C(=O)C=C2OC3=C(C(C)=O)C(O)=C(C)C(O)=C3[C@]2(C)C1=O,-1.995985874,24.99,Reaxys
CUYKNJBYIJFRCU-UHFFFAOYSA-N,NC1=CC=CN=C1,0.861071993,24.99,Reaxys
CVHZOJJKTDOEJC-UHFFFAOYSA-N,O=C1NS(=O)(=O)C2=C1C=CC=C2,-0.188065238,25,Reaxys
CWRYPZZKDGJXCA-UHFFFAOYSA-N,C1CC2=C3C1=CC=CC3=CC=C2,-0.029200381,24.84,Reaxys
CZGCEKJOLUNIFY-UHFFFAOYSA-N,ClC1=CC=C(C=C1)N(=O)=O,0.802944895,17,Reaxys
DCDNKSJBRIJYEC-UHFFFAOYSA-N,CC1(CBr)C2CCC1(C)C(=O)C2Br,-0.713251069,NA,Reaxys
DCGRTRSBXMXCHW-AFNTYDFCSA-N,CC1(C)C[C@H]2C[C@@H]1CC2(C)CC1(Cl)C[C@H]2C[C@@H]1CC2(C)C,-0.971353173,NA,Reaxys
DHNCWGKMISNJQG-UHFFFAOYSA-N,CN(C(=O)C(=O)N(C)N(=O)=O)N(=O)=O,0.072121752,20,Reaxys
DMHADBQKVWXPPM-PDDCSNRZSA-N,CC(C)[C@@H]1CC\C(C)=C/CC\C(C)=C\C\C=C(C)/C=C/1,-2.134295072,NA,Reaxys
DMLAVOWQYNRWNQ-BUHFOSPRSA-N,C1=CC=C(C=C1)\N=N\C1=CC=CC=C1,0.2903599,25,Reaxys
DMSHKWHLXNDUST-UHFFFAOYSA-N,CC1=CC=C(NC(N)=O)C=C1,-0.751730463,23,Reaxys
DNVPQKQSNYMLRS-APGDWVJJSA-N,[H][C@](C)(\C=C\[C@@]([H])(C)[C@@]1([H])CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)C,-2.004575462,22,Reaxys
DPJHZJGAGIWXTD-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=C(F)C=C1,0.581404403,25.14,Reaxys
DPZSNGJNFHWQDC-ARJAWSKDSA-N,N\C(C#N)=C(/N)C#N,0.142253513,25,Reaxys
DYIIYHDGKUVKLC-KLOSEMCISA-N,CC1(C)C[C@H]2C[C@@H]1C\C2=C/C1(C)C[C@H]2C[C@@H]1CC2(C)C,-1.204876146,NA,Reaxys
DYIOSHGVFJTOAR-JGWLITMVSA-N,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)CS,-3.297191289,20,Reaxys
FBFHQXIENYXRKB-UHFFFAOYSA-N,ClC1=NC(OC2=CC=C(C=C2)N=NC2=CC=CC=C2)=NC(Cl)=N1,-1.016460387,25,Reaxys
FBHSPRKOSMHSIF-GRMWVWQJSA-N,[H][C@@]12C[C@H]3OC(C)=N[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,-1.011129134,29.99,Reaxys
FDAOZIJGWOTKQT-UHFFFAOYSA-N,O=N(=O)C1=CC=C2N=C3C(=CC=CC3=N(=O)C2=C1)N(=O)=O,-1.456674182,NA,Reaxys
FDTZUTSGGSRHQF-UHFFFAOYSA-N,OC1=CC=CC=C1C(=O)NC1=NC=C(S1)N(=O)=O,-2.843870159,25,Reaxys
FFGPTBGBLSHEPO-UHFFFAOYSA-N,NC(=O)N1C2=C(C=CC=C2)C=CC2=C1C=CC=C2,-1.170336471,25,Reaxys
FJKROLUGYXJWQN-UHFFFAOYSA-N,OC(=O)C1=CC=C(O)C=C1,0.215759855,23,Reaxys
FKJARBPQBIATJT-UHFFFAOYSA-N,C(N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,-0.413887927,20,Reaxys
FMXDVBRYDYFVGS-UHFFFAOYSA-N,COC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,0.796849864,15,Reaxys
FPBODWXATDKICU-FLFWOSPYSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCC,-1.907416736,20,Reaxys
FQEPJUOLUDFINX-MYJWUSKBSA-N,[H][C@@](CC(C)=O)(C1C(=O)OC2=CC=CC=C2C1=O)C1=CC=CC=C1,-0.439803394,25,Reaxys
FRASJONUBLZVQX-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1C=CC=C2,-0.267898415,25.09,Reaxys
FRWPFWGOLVNOHP-UHFFFAOYSA-N,CC1=CC=C(C=C1C)C(C1=CC(C)=C(C)C=C1)C(Cl)(Cl)Cl,-0.071257149,NA,Reaxys
FTKDWGYLOVAMPG-UHFFFAOYSA-N,[H]C(C)(Cl)C(=O)NC1=CC=C(C)C=C1,0.153245609,26.88,Reaxys
