StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
JYGXADMDTFJGBT-VWUMJDOOSA-N,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](C(=O)CO)([C@@]3(C)C[C@@H]([C@H]21)O)O,Train,-1.391988349,362.466,217.17,224.861,-1194.417261,-1194.443767,-0.02650606,-1193.983446,-1194.010001,-0.026555,-1172.277917,-1172.303623,-0.02570652,-1171.748154,-1171.778044,-0.02989,4.1175,5.303,-0.24179,-0.05493,0.22322,0.242,561.0859375,-3.59591,-4.72793,-0.80024,0.57181,-3.59591,56,12529.5,20938,25223.5,0.475378775,0.557729511,0.808777424,5,143.6671544,-270.1162938,413.7834482,11204,0.036751955,0.017635666
JZFDKGFWNSQAHU-UHFFFAOYSA-N,CCc1ccc(cc1)C(=O)c1ccccc1C(=O)O,Train,0.32238574,254.285,126,192.192,-843.8618087,-843.8762449,-0.014436201,-843.646925,-843.662167,-0.015242,-828.1240502,-828.1350288,-0.010978584,-827.862496,-827.873205,-0.010709,4.1128,6.1424,-0.25268,-0.07227,0.20588,0.25289,487.7692566,-1.94114,-1.89706,-0.71754,0.81485,-1.94114,33,12143,17987.5,19159,0.543913892,0.709497173,0.883629936,6,-59.87622184,-233.3319024,173.4556805,4447,-0.052469508,0.020585911
JZODKRWQWUWGCD-UHFFFAOYSA-N,CC(C)(C)c1cc(c(cc1O)C(C)(C)C)O,Train,0.157251372,222.327,216.5,158.982,-697.2105326,-697.218334,-0.007801437,-696.919357,-696.928167,-0.00881,-684.202175,-684.214224,-0.012048966,-683.847197,-683.859966,-0.012769,1.00E-04,1.00E-04,-0.20569,-0.01262,0.26553,0.2059,455.9526062,-1.46846,-4.38895,-0.73423,0.52113,-1.46846,38,10415,15848,18821,0.592592593,0.695042668,0.993788813,3,48.37275668,-51.45728201,99.83003869,2122,-0.024249426,0.002890612
KBOQXVVZFSWICE-FIJLXMTKSA-N,C[C@]12CCC=CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H](CC[C@]12O)c1ccc(=O)oc1,Test,-2.910861465,366.5,247.25,320.519,-1158.291904,-1158.307454,-0.01554933,-1157.847493,-1157.863574,-0.016081,-1136.792283,-1136.808909,-0.01662551,-1136.252777,-1136.268749,-0.015972,7.737,9.8719,-0.2239,-0.06541,0.21274,0.22411,582.769165,-1.96632,-5.71499,-0.80112,0.74555,-1.96632,57,11787,22980.5,26779,0.44625611,0.463252822,0.887334042,6,123.2811754,-197.7895349,321.0707103,10141,0.031002549,0.010350325
KCSGAVOYBPPIRL-UHFFFAOYSA-N,CCCCCC(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,Test,-2.701037233,396.533,143,299.598,-1265.241411,-1265.259129,-0.01771812,-1264.783802,-1264.802893,-0.019091,-1241.599356,-1241.617479,-0.01812339,-1241.040955,-1241.063221,-0.022266,6.7021,9.3254,-0.1869,-0.02187,0.25628,0.18711,758.1171265,-1.32979,-4.51706,-0.68801,0.83588,-3.46359,61,18504.5,23755,33066,0.40680265,0.458314113,0.855803289,4,-45.16004847,-317.6123038,272.4522553,7313,-0.043431192,0.020733871
KDFNXUATOIFLSG-UHFFFAOYSA-N,c1ccc(c(c1)Cl)OC(=O)NC(=O)N,Train,-2.041611296,214.608,179,117.785,-1104.494735,-1104.516337,-0.02160202,-1104.387731,-1104.410201,-0.02247,-1086.872203,-1086.885537,-0.01333332,-1086.740617,-1086.753108,-0.012491,3.8891,7.2439,-0.25968,-0.03519,0.24296,0.25989,398.1140137,-1.85146,0.99776,-0.87518,0.95187,-3.42124,21,8711.5,14138.5,16116,0.457149151,0.602534485,0.697712672,1,-8.729777969,-8.729777969,0,10002,-0.000872803,0.059044268
KDYFGRWQOYBRFD-UHFFFAOYSA-N,C(CC(=O)O)C(=O)O,Test,-0.170645968,118.089,185.5,78.374,-456.9878665,-457.0009733,-0.013106777,-456.917105,-456.930326,-0.013221,-448.4690046,-448.478654,-0.009649392,-448.377793,-448.389059,-0.011266,0,0,-0.29594,-0.01866,0.25949,0.29615,282.7738953,-2.7394,0.52324,-0.72336,0.83111,-2.7394,14,7411.5,7889.5,11255,0.528985514,0.557251908,0.568261979,7,35.77754808,-115.8365494,151.6140975,1913,0.039367988,0.020273599
KJKGTLBNWUUCKQ-UHFFFAOYSA-N,c1ccc2c(c1)c1NC3=CC=CC(=Nc4c5ccccc5c([nH]4)N=c4c5ccccc5c(=Nc2[nH]1)[nH]4)C3,Test,-0.420217749,475.512,331,373.363,-1539.132633,-1539.15465,-0.02201692,-1538.736487,-1538.758007,-0.02152,-1510.408232,-1510.446984,-0.03875235,-1509.9406,-1509.980265,-0.039665,4.248,8.2889,-0.16775,-0.0904,0.18775,0.16796,715.1082764,0,-2.23278,-0.6564,0.46092,-3.90398,58,16392.5,16928.5,40239,0.344619547,0.373742722,0.993883785,4,78.34230497,-293.4000903,371.7423952,9024,-0.032513308,0.008770334
KJPXTDBDRLXUQN-UHFFFAOYSA-N,CC(=O)Oc1ccc(cc1C(=O)O)n1nc2ccccc2n1,Test,-2.05739504,297.27,315,222.21,-1043.408902,-1043.422719,-0.01381744,-1043.214087,-1043.229644,-0.015557,-1024.022424,-1024.03296,-0.01053575,-1023.78427,-1023.795056,-0.010786,2.0422,3.1645,-0.24529,-0.08662,0.19153,0.2455,516.1066284,-2.5179,-0.217,-0.7818,0.84257,-3.03826,33,9193,16227,24959.5,0.346995612,0.552270668,0.700678259,8,-23.88536202,-180.8919942,157.0066321,3239,-0.044759174,0.01408801
KJXSIXMJHKAJOD-LSDHHAIUSA-N,c1c(cc(c(c1O)O)O)[C@@H]1[C@H](C(=O)c2c(cc(cc2O1)O)O)O,Train,-0.275046998,320.255,243.885,166.118,-1180.639399,-1180.662102,-0.02270359,-1180.43023,-1180.453807,-0.023577,-1158.77112,-1158.794805,-0.02368444,-1158.525583,-1158.547203,-0.02162,3.1353,4.6374,-0.23213,-0.07817,0.19998,0.23234,505.1903992,-5.57898,0.82761,-0.78096,0.53752,-5.57898,35,11387,18395,22293.5,0.545294721,0.596183332,0.793009352,13,42.95853376,-212.9915464,255.9500801,3588,-0.036079213,0.011277865
