StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
XWKFPIODWVPXLX-UHFFFAOYSA-N,Cc1ccc(C)nc1,Test,0.4,107.1548,-15,80.465,-326.9363979,-326.9419163,-0.005518378,-326.825519,-326.83106,-0.005541,-320.8075008,-320.8093188,-0.001818022,-320.669322,-320.671327,-0.002005,2.1941,3.1258,-0.24991,-0.03407,0.2852,0.27483,299.4517822,0,-1.7569,-0.71334,0.25564,-0.50009,17,12014.5,18151.5,23680.5,0.490384615,0.74519227,0.757112392,3,-7.504134582,-76.64529013,69.14115555,2433,0.026487971,0.004323231
XYGUXAGVJDBSBP-UHFFFAOYSA-N,c1ccc(cc1)C(=O)OCC(=O)NCC(=O)N,Train,-1.498,236.2268,151.5,159.021,-836.8756225,-836.8974843,-0.021861793,-836.697231,-836.718282,-0.021051,-821.2404678,-821.2479478,-0.007480019,-821.022189,-821.030475,-0.008286,2.7999,3.8331,-0.26088,-0.06551,0.25376,0.2858,461.9148254,-2.57729,0.33785,-0.84798,0.82435,-4.07995,29,21960,28705.5,38612,0.492767807,0.675354283,0.744474927,7,-38.0491618,-258.150199,220.1010372,3047,0.050244095,0.022926606
YAPQBXQYLJRXSA-UHFFFAOYSA-N,Cn1cnc2c1c(=O)[nH]c(=O)n2C,Test,-2.58679,180.1658,347.5,109.453,-641.0916093,-641.1085044,-0.016895138,-640.968565,-640.985138,-0.016573,-629.1488392,-629.1576645,-0.008825319,-628.999513,-629.009323,-0.00981,4.7844,6.4246,-0.23672,-0.05149,0.26778,0.26164,349.1856995,-1.36076,1.1166,-0.69182,0.831,-3.38921,21,15057,18534.5,30515.5,0.460176991,0.578651699,0.787610619,9,29.6683855,-179.5888392,209.2572247,4122,0.042966409,0.01377319
YASYVMFAVPKPKE-UHFFFAOYSA-N,CC(=O)NP(=O)(OC)SC,Train,0.54,183.1617,88,111.28,-1178.509292,-1178.526831,-0.01753887,-1178.399862,-1178.416524,-0.016662,-1160.716682,-1160.724255,-0.00757273,-1160.576936,-1160.586924,-0.009988,1.4741,2.652,-0.25836,-0.02159,0.29768,0.28328,369.0360718,-2.62496,-1.21482,-1.11754,2.158,-1.58849,20,20684.5,23247,25902.5,0.687289152,0.734299576,0.889939438,4,-23.4550606,-219.4098403,195.9547797,4671,0.035971253,0.014751307
YBPAYPRLUDCSEY-UHFFFAOYSA-N,c1cc(ccc1CC(=O)N)O,Train,-2.38601,151.1646,175.5,103.064,-515.5067727,-515.5238584,-0.017085681,-515.384634,-515.4015,-0.016866,-505.8612702,-505.8691672,-0.007896979,-505.713867,-505.722092,-0.008225,4.3849,5.7121,-0.23542,-0.03183,0.28744,0.26034,340.4301147,-1.44178,-0.7021,-0.84994,0.68575,-2.29172,20,15781.5,22972.5,26464,0.591355148,0.641975309,0.987891636,5,60.97166922,-149.3432795,210.3149487,2741,0.043746319,0.021950533
YCLSOMLVSHPPFV-UHFFFAOYSA-N,C(CSSCCC(=O)O)C(=O)O,Test,-0.19,210.2626,157,134.639,-1331.977855,-1332.005821,-0.02796645,-1331.858937,-1331.884685,-0.025748,-1311.966518,-1311.984322,-0.0178044,-1311.814056,-1311.835887,-0.021831,6.1776,8.2673,-0.26051,-0.0518,0.26747,0.28543,410.6345215,-2.72049,-0.73535,-0.72588,0.83321,-2.57838,22,17439.5,28117.5,30826.5,0.485176034,0.546573772,0.88050313,4,179.5208655,-216.8190002,396.3398657,7712,0.051392617,0.025541461
YCMLQMDWSXFTIF-UHFFFAOYSA-N,Cc1ccccc1S(=O)(=O)N,Train,-2.02,171.2136,157,87.782,-875.5092165,-875.5226947,-0.013478207,-875.39007,-875.403866,-0.013796,-861.2807987,-861.2953664,-0.014567732,-861.138922,-861.153465,-0.014543,3.9644,5.7504,-0.2675,-0.0508,0.26847,0.29242,338.4365234,-1.95261,-1.9488,-1.12258,2.29088,-0.78431,20,17391,19693,27633,0.67441565,0.761154901,0.954156758,3,13.45239726,-163.9657191,177.4181163,3188,-0.051432158,0.014944709
YEAICDDXRUOCKJ-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)Nc1cnccn1,Train,-3.7,250.2746,251,200.8,-1154.683935,-1154.703957,-0.02002192,-1154.527577,-1154.547365,-0.019788,-1135.262939,-1135.287269,-0.02433031,-1135.077388,-1135.101711,-0.024323,6.6425,8.9759,-0.23907,-0.06192,0.25735,0.26399,438.167572,-1.92572,-0.92298,-0.96532,2.32081,-2.23356,27,22080,32331,32523.5,0.554622548,0.673886691,0.936601358,5,13.74624789,-255.1214486,268.8676965,4785,-0.0489245,0.016153642
YFBPRJGDJKVWAH-UHFFFAOYSA-N,Cc1cc(cc(C)c1SC)OC(=O)NC,Test,-3.921,225.305,120,176.448,-1031.64193,-1031.654412,-0.01248234,-1031.444696,-1031.458342,-0.013646,-1014.807191,-1014.806081,0.00110954,-1014.561655,-1014.559547,0.002108,3.7745,5.3215,-0.22753,-0.02867,0.2906,0.25245,457.8319397,-1.26906,-2.23765,-0.81549,0.92826,-1.75821,30,20309.5,30599.5,37802.5,0.413249195,0.632134884,0.659103209,9,-58.87366906,-186.6068989,127.7332298,2753,-0.05273935,0.020360211
YFGYUFNIOHWBOB-UHFFFAOYSA-N,Cc1c(C)nc(nc1OC(=O)N(C)C)N(C)C,Train,-1.95,238.2888,90.5,215.507,-799.5286741,-799.5412475,-0.012573327,-799.28692,-799.299945,-0.013025,-784.6157674,-784.6197791,-0.004011719,-784.315721,-784.319216,-0.003495,2.3804,3.5053,-0.20823,-0.02684,0.29243,0.23315,492.7565308,-1.2715,-1.10098,-0.71967,0.94285,-3.37073,35,23792,28924.5,40026.5,0.576445931,0.653543235,0.779232452,5,-122.6733414,-233.0946824,110.421341,4995,-0.046665602,0.020638276
YGLMVCVJLXREAK-UHFFFAOYSA-N,CN(C)C(=O)NC1CC2CC1C1CCCC21,Train,-3.01,222.3296,177,183.109,-693.3975337,-693.409241,-0.011707241,-693.099259,-693.111295,-0.012036,-680.5121336,-680.5171443,-0.005010664,-680.14669,-680.151482,-0.004792,3.7998,5.7315,-0.23461,-0.00884,0.31043,0.25953,460.130188,-0.7587,-3.61317,-0.7587,0.8237,-1.9658,38,19184,31998.5,37419,0.510623066,0.605474929,0.796903041,2,-11.32452656,-162.3389835,151.014457,4350,0.034715967,0.011099314
YIKYNHJUKRTCJL-UHFFFAOYSA-N,CCc1c(c(=O)cco1)O,Train,-0.89378,140.1384,91.25,95.359,-497.234613,-497.2442837,-0.0096707,-497.127446,-497.137664,-0.010218,-487.9737387,-487.9745178,-0.000779103,-487.843153,-487.845181,-0.002028,3.8412,5.4768,-0.24079,-0.05948,0.25979,0.26571,317.0773926,-1.86981,-0.46565,-0.7229,0.53267,-1.86981,18,15660.5,18192,25893,0.609597561,0.690808239,0.861842118,4,6.33139106,-128.8859311,135.2173221,4082,0.031864115,0.011329938
YKGCCFHSXQHWIG-UHFFFAOYSA-N,c1ccc2c(c1)nc1ccc(=O)cc1s2,Test,-3.716,225.3482,161,189.399,-989.6579664,-989.6702983,-0.012331899,-989.537725,-989.549877,-0.012152,-973.6293444,-973.6306129,-0.001268484,-973.483702,-973.484572,-0.00087,6.0496,9.4456,-0.23197,-0.1247,0.19457,0.25689,389.5557556,-0.64671,-1.32733,-0.64671,0.5069,-0.52409,22,13103,21590,36862,0.324909747,0.514285714,0.614830846,7,41.2965039,-155.9484831,197.244987,4461,0.037363392,0.009734684
YKJYKKNCCRKFSL-UHFFFAOYSA-N,CC(=O)OC1C(Cc2ccc(cc2)OC)NCC1O,Train,-1.61,265.3084,140.25,208.767,-900.5972389,-900.6122671,-0.015028248,-900.327991,-900.344319,-0.016328,-883.8682196,-883.8774092,-0.009189633,-883.538606,-883.548507,-0.009901,4.8506,6.6916,-0.2264,-0.02217,0.2971,0.25132,509.7983398,-2.56342,-1.88684,-0.79306,0.83107,-3.31405,38,24768,37109,38331.5,0.478162271,0.599231903,0.728462288,8,56.46744505,-179.2282271,235.6956722,7762,0.029375007,0.006416926
