StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
YOJAHJGBFDPSDI-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(C(=O)OC)cc1,Test,-3.035,181.1476,95,116.734,-664.6556929,-664.6667349,-0.011042051,-664.548448,-664.559989,-0.011541,-652.2596468,-652.260136,-0.000489271,-652.127928,-652.128512,-0.000584,4.759,5.9316,-0.29682,-0.12048,0.19879,0.32174,362.2937317,-1.97808,-0.36188,-0.63407,0.8183,-1.47647,20,11963,21230,32144.5,0.398592086,0.607392545,0.640831792,6,40.69586132,-150.0385208,190.7343821,4775,0.032843899,0.007022835
YOYAIZYFCNQIRF-UHFFFAOYSA-N,Clc1c(C#N)c(Cl)ccc1,Train,-4.24,172.0134,145,94.901,-1243.685953,-1243.694798,-0.00884483,-1243.640629,-1243.649572,-0.008943,-1226.437602,-1226.44052,-0.00291765,-1226.380043,-1226.383018,-0.002975,5.6723,7.7025,-0.28012,-0.08404,0.23523,0.30504,315.5201416,0,-0.576,-0.34562,0.31818,-0.25802,13,15792,15954,27362,0.428571429,0.43627451,0.965951776,4,39.14604373,-134.5040879,173.6501316,4085,0.041876347,0.013000613
YREQHYQNNWYQCJ-UHFFFAOYSA-N,O(CC(C)(C)c1ccc(OCC)cc1)Cc1cc(Oc2ccccc2)ccc1,Train,-8.59998,376.4944,36,260.509,-1195.216455,-1195.227799,-0.01134396,-1194.804435,-1194.8167,-0.012265,-1172.965042,-1172.963595,0.00144698,-1172.464689,-1172.462631,0.002058,2.2729,3.1347,-0.22162,-0.02775,0.29152,0.24654,722.4853516,-1.70349,-5.12362,-0.70875,0.30673,-1.70349,56,32250.5,45905.5,62937.5,0.410653576,0.617913671,0.628398108,11,-58.74040825,-167.9927579,109.2523496,2243,0.026218912,0.003442712
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=c1c2c(sc3c1cccc3)cccc2,Train,-5.54,212.2656,210,114.511,-973.652167,-973.6606935,-0.00852654,-973.518213,-973.526914,-0.008701,-957.9325097,-957.9306336,0.001876176,-957.771988,-957.770002,0.001986,2.7573,4.3383,-0.2281,-0.08169,0.23758,0.25302,387.5991516,-0.6366,-1.91436,-0.6366,0.53777,-0.18841,23,13733.5,20534,37297.5,0.338345865,0.5,0.671186808,3,35.04197967,-104.6138386,139.6558182,2283,0.030654987,0.005951508
YRHYCMZPEVDGFQ-UHFFFAOYSA-N,O=C(OC)CCCCCCCCC,Train,-4.63,186.2936,-15.25,171.931,-582.9197334,-582.9264326,-0.006699208,-582.648047,-582.655495,-0.007448,-572.0270174,-572.024336,0.002681394,-571.688384,-571.68664,0.001744,1.6376,2.358,-0.28181,0.0011,0.32037,0.30673,490.0866089,-1.21667,-3.99413,-0.68813,0.83748,-1.21667,35,11374,35908.5,38215.5,0.265984655,0.325174821,0.833333333,6,-37.93394543,-87.5693444,49.63539896,1683,-0.048710653,0.014326644
YTBRNEUEFCNVHC-UHFFFAOYSA-N,Clc1ccc(c2ccc(Cl)cc2)cc1,Train,-6.56,223.1012,149.15,139.556,-1382.514832,-1382.520275,-0.00544252,-1382.391558,-1382.397084,-0.005526,-1362.65415,-1362.654748,-0.0005979,-1362.505922,-1362.505574,0.000348,0.0001,0,-0.239,-0.0554,0.26387,0.26392,408.0617371,0,-2.07176,-0.24866,0.26768,-0.0316,22,13848,27332.5,36921,0.333333333,0.483974359,0.679738562,6,133.4287356,-8.346186102,141.7749217,2341,0.030504548,0.005536409
YUWFEBAXEOLKSG-UHFFFAOYSA-N,Cc1c(C)c(C)c(C)c(C)c1C,Train,-5.23,162.2742,165,146.122,-468.147999,-468.1506067,-0.002607632,-467.920638,-467.92459,-0.003952,-459.3711603,-459.3670676,0.004092707,-459.087422,-459.083476,0.003946,0.0005,0.0002,-0.21843,0.00405,0.32332,0.24335,383.672699,0,-4.41878,-0.70752,0.24794,0,30,18684,18982.5,33178,0.502392345,0.502415459,0.971903054,2,-40.99140606,-40.99140606,0,718,-0.028709227,0.005544993
YVWZWRFAFZRJGU-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCC(O)CC1,Train,-1.349,263.2926,121.5,208.396,-899.4261667,-899.4468446,-0.02067793,-899.176483,-899.197044,-0.020561,-882.6911481,-882.7003634,-0.009215312,-882.387824,-882.395768,-0.007944,2.2498,4.0537,-0.25593,-0.05644,0.26283,0.28085,498.6098328,-2.68126,-1.47217,-0.80152,0.82524,-3.16963,36,18461,36608,40557.5,0.450421501,0.454974344,0.941085974,4,0.17805021,-270.4493706,270.6274208,6089,0.038298807,0.014177937
YWBVHLJPRPCRSD-UHFFFAOYSA-N,FC(F)(F)c1cc(c2c(=O)c(c3ccccc3)cn(C)c2)ccc1,Train,-4.44,329.3209,154.5,227.218,-1162.017342,-1162.036921,-0.01957851,-1161.781101,-1161.801031,-0.01993,-1140.500531,-1140.500915,-0.00038436,-1140.214577,-1140.215076,-0.000499,6.3849,9.8423,-0.22177,-0.05947,0.2598,0.24669,562.6322021,-0.70476,-1.42162,-0.70476,1.09556,-2.18254,38,23588,36746,49645.5,0.445190731,0.625606975,0.681881977,6,62.89240594,-287.2366264,350.1290323,6765,0.049851715,0.015840551
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,S(=O)(=O)(Nc1nc(C)nc(C)c1)c1ccc(N)cc1,Train,-2.27725,278.3282,243,164.224,-1233.343635,-1233.364142,-0.02050685,-1233.134387,-1233.157143,-0.022756,-1212.441671,-1212.466072,-0.0244008,-1212.194111,-1212.219645,-0.025534,6.9597,9.7631,-0.23832,-0.05057,0.2687,0.26324,501.8950806,-1.92925,-1.83011,-0.96542,2.32733,-2.41084,33,28830.5,31672,36015.5,0.787380408,0.926009004,0.952472135,5,18.67574232,-256.237767,274.9135093,5873,0.045829636,0.021043663
