StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
JLYXXMFPNIAWKQ-CDRYSYESSA-N,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,Train,-0.671145442,290.832,310.5,139.075,-2993.439214,-2993.450594,-0.0113794,-2993.366049,-2993.377025,-0.010976,-2955.445874,-2955.478297,-0.0324237,-2955.351916,-2955.384438,-0.032522,0,0,-0.3123,-0.07529,0.18272,0.28433,381.1347046,0,-1.62944,-0.27168,0.3071,-0.21308,18,10775.5,10826.5,16931.5,0.540880511,0.562091503,0.916666691,8,203.7368266,-4.813297076,208.5501236,2087,0.050075276,0.017356453
JTEGQNOMFQHVDC-NKWVEPMBSA-N,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,Train,-2.387200434,229.26,140,150.675,-1099.61215,-1099.636879,-0.02472899,-1099.453339,-1099.478102,-0.024763,-1081.555826,-1081.578132,-0.02230649,-1081.361745,-1081.383876,-0.022131,7.7947,10.9027,-0.23532,-0.04329,0.21472,0.20735,404.9612427,-2.12226,0.34425,-0.80898,0.79359,-3.85991,26,9747.5,12786,17551,0.491284881,0.659714593,0.764406778,5,14.97774623,-293.588789,308.5665353,6591,0.046528138,0.020164702
JUFLTGRGLUCRCU-UHFFFAOYSA-N,N=C(C#N)C(=N)C#N,Train,0.296557126,106.087,165.5,87.913,-372.553583,-372.5677141,-0.01413113,-372.525781,-372.539828,-0.014047,-365.6077945,-365.619041,-0.011246545,-365.569794,-365.581388,-0.011594,3.2259,4.0063,-0.33746,-0.14825,0.10976,0.30949,266.4177246,0,0.79102,-0.52083,0.41758,-1.61031,10,6131,6869,10879,0.480620155,0.52991453,0.856751208,4,111.0838564,-117.0761806,228.160037,4298,0.053085164,0.019767457
JUVIOZPCNVVQFO-HBGVWJBISA-N,[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1([H])C(=O)C1=C(O2)C2=C(O[C@H](C2)C(C)=C)C=C1,Train,-0.757114242,394.424,163.5,263.96,-1341.033954,-1341.051373,-0.01741893,-1340.679773,-1340.698014,-0.018241,-1316.228133,-1316.24804,-0.01990745,-1315.798323,-1315.820939,-0.022616,3.91,5.6889,-0.19793,-0.06278,0.19523,0.16996,656.6140747,-3.33111,-2.12832,-0.71603,0.57835,-3.33111,51,16125,21650.5,27622,0.547550112,0.585985237,0.958911969,8,-49.02228664,-270.2550755,221.2327889,6451,-0.039201517,0.015853234
JZFDKGFWNSQAHU-UHFFFAOYSA-N,CCC1=CC=C(C=C1)C(=O)C1=C(C=CC=C1)C(O)=O,Train,-1.136912716,254.285,126,169.958,-843.8618183,-843.8760133,-0.014195043,-843.647061,-843.661949,-0.014888,-828.1240735,-828.1391796,-0.015106101,-827.862518,-827.877622,-0.015104,4.0998,6.0775,-0.25262,-0.07205,0.18596,0.22465,488.287384,-1.93977,-1.89674,-0.71771,0.81471,-1.93977,33,12045.5,17810.5,19307,0.537573247,0.707547154,0.806687578,6,-70.09275702,-235.6845572,165.5918002,4607,-0.051157924,0.020673508
JZODKRWQWUWGCD-UHFFFAOYSA-N,CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C,Train,-0.065985952,222.327,216.5,249.267,-697.2105326,-697.218205,-0.007672441,-696.919357,-696.928007,-0.00865,-684.2021751,-684.2133744,-0.01119924,-683.847197,-683.859673,-0.012476,0.0001,0.0001,-0.20569,-0.01262,0.24539,0.17772,455.889679,-1.46808,-4.38808,-0.73404,0.52089,-1.46808,38,10436,15841.5,18809.5,0.587301601,0.694060038,1,3,48.51739482,-50.93774588,99.4551407,2104,-0.024209955,0.002881904
KCSGAVOYBPPIRL-UHFFFAOYSA-N,CCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,Train,-1.789595827,396.533,143,307.097,-1265.241411,-1265.258833,-0.01742222,-1264.783802,-1264.802509,-0.018707,-1241.599356,-1241.622097,-0.02274119,-1241.040955,-1241.065295,-0.02434,6.7021,9.2759,-0.1869,-0.02187,0.23614,0.15893,757.8833618,-1.32843,-4.51547,-0.68796,0.83583,-3.46276,61,18493,23771.5,33069.5,0.40743099,0.458050304,0.85535139,4,-44.54186488,-314.4405217,269.8986568,7261,-0.043305402,0.020618938
KDCVCMJTEQZMEL-UHFFFAOYSA-N,CN1CCN(CC2=CC(C)=CC=C2)CC(C1)NC(=O)C1=NNC2=C1C=CC=C2,Train,-1.00229436,377.489,142.5,281.264,-1203.612695,-1203.629821,-0.01712539,-1203.203675,-1203.221177,-0.017502,-1181.186277,-1181.209815,-0.02353731,-1180.691146,-1180.717193,-0.026047,3.7928,5.5586,-0.20865,-0.05566,0.20235,0.18068,680.9412231,-0.69014,-3.88668,-0.7018,0.66001,-3.08436,55,16284.5,26623.5,26886.5,0.447118579,0.765569682,0.774569491,10,-107.3053738,-261.5386802,154.2333064,4254,-0.046199808,0.022069791
KDYFGRWQOYBRFD-UHFFFAOYSA-N,OC(=O)CCC(O)=O,Train,-0.48562214,118.089,185.5,91.437,-456.9878665,-457.0007908,-0.012924326,-456.917105,-456.930143,-0.013038,-448.4690046,-448.4802045,-0.011199849,-448.377793,-448.389425,-0.011632,0,0,-0.29594,-0.01866,0.23935,0.26797,282.7740784,-2.7383,0.52272,-0.72332,0.83085,-2.7383,14,7416,7888,11261.5,0.528985507,0.557251908,0.567024254,8,52.040032,-106.9763455,159.0163775,1249,-0.039616022,0.009667578
KFIRODWJCYBBHY-UHFFFAOYSA-N,OC(=O)C1=C(C(O)=O)C(=CC=C1)N(=O)=O,Train,-0.08819764,211.131,217.75,98.43,-813.9087957,-813.9271421,-0.018346333,-813.817272,-813.836168,-0.018896,-798.7565329,-798.7724535,-0.015920602,-798.646435,-798.661874,-0.015439,5.9658,8.1967,-0.29309,-0.11916,0.13885,0.26512,361.3123474,-3.40722,0.97231,-0.71275,0.82872,-2.89982,20,9445,10281.5,16304.5,0.514216122,0.597945366,0.986105632,3,34.22259909,-248.1474921,282.3700912,6009,0.041828446,0.017905109
