StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
IJFDOVWXJGQCGY-UHFFFAOYSA-N,Cc1ccc2C(=O)c3ccccc3c4c2c1c5c(C)ccc6C(=O)c7ccccc7c4c56,Test,-1.694205445,410.472,317,306.726,-1304.576989,-1304.583264,-0.00627571,-1304.238128,-1304.244442,-0.006314,-1280.321321,-1280.346594,-0.02527305,-1279.919748,-1279.944729,-0.024981,1.2886,1.6528,-0.22128,-0.1161,0.06422,0.06237,611.7801514,-1.1868,-3.43901,-0.70853,0.53593,-1.1868,50,34994.5,35683,59161.5,0.603102101,0.678492718,0.976918133,5,43.69125864,-159.4469061,203.1381647,4645,0.026657945,0.004024772
IJFXRHURBJZNAO-UHFFFAOYSA-N,OC(=O)c1cccc(O)c1,Train,-3.193440523,138.123,202,100.033,-496.0635754,-496.0687558,-0.005180376,-495.977509,-495.982939,-0.00543,-486.8201632,-486.8295161,-0.009352928,-486.717201,-486.726588,-0.009387,0.8674,1.0336,-0.24655,-0.06686,0.11346,0.08764,303.5959778,-2.06068,-0.02268,-0.72185,0.80802,-2.06068,16,12662,15745.5,26637.5,0.410377358,0.502857143,0.820686383,6,46.15291785,-76.55686861,122.7097865,1382,-0.040265723,0.009459092
IJXJGQCXFSSHNL-QMMMGPOBSA-N,N[C@@H](CO)c1ccccc1,Train,-1.023350612,137.181,76,142.025,-441.4459106,-441.4517055,-0.005794898,-441.303406,-441.308856,-0.00545,-433.1846495,-433.1951429,-0.01049333,-433.012275,-433.022426,-0.010151,2.5847,2.9065,-0.23541,-0.01984,0.16048,0.0765,336.8784485,-0.78092,-1.48857,-0.90527,0.50077,-1.68619,21,15977,22693,25711,0.630901288,0.659165119,0.951834881,4,15.34410509,-99.86682307,115.2109282,3339,0.031140274,0.012050684
IKCLCGXPQILATA-UHFFFAOYSA-N,OC(=O)c1ccccc1Cl,Test,-1.240463268,156.569,140,97.141,-880.4269173,-880.4309566,-0.004039308,-880.353907,-880.358095,-0.004188,-866.9767845,-866.9870394,-0.010254829,-866.889207,-866.899576,-0.010369,3.3942,3.9842,-0.26492,-0.07325,0.10707,0.10601,307.7445068,-1.3346,-0.28364,-0.73043,0.80496,-1.29607,15,13726.5,15493.5,27089.5,0.425837321,0.486187845,0.907345665,3,29.53509403,-89.49489349,119.0299875,2696,0.030504386,0.005488164
IKEHOXWJQXIQAG-UHFFFAOYSA-N,Cc1ccc(O)c(c1)C(C)(C)C,Train,0.772431391,164.247,51,130.107,-504.0531718,-504.0554689,-0.002297037,-503.847003,-503.84928,-0.002277,-494.6302404,-494.639706,-0.009465652,-494.376406,-494.386406,-0.01,1.2153,1.3273,-0.21903,-0.01221,0.16811,0.06012,379.5638733,-0.72378,-3.40174,-0.72378,0.51349,-0.72378,28,19173.5,23203,30698,0.668709972,0.805182393,0.80862645,5,24.80459609,-31.42705044,56.23164653,1194,0.044279197,0.019777475
IKZIWJRUUPSDHX-UHFFFAOYSA-N,Cl[S](=O)(=O)c1ccc2cc(cc(c2c1)[S](Cl)(=O)=O)[S](Cl)(=O)=O,Train,-1.755138507,423.703,165.5,226.175,-3410.410594,-3410.418981,-0.00838608,-3410.314397,-3410.323047,-0.00865,-3362.229178,-3362.258176,-0.0289987,-3362.11228,-3362.141631,-0.029351,4.4477,5.2886,-0.30443,-0.14889,0.03143,0.14552,538.0223999,-5.2273,-1.80303,-0.8755,2.08377,0.34688,27,25511,34813.5,44118.5,0.495210519,0.684447755,0.875244924,9,244.8133476,-128.9423222,373.7556698,8326,0.04394673,0.014144771
IMNIMPAHZVJRPE-UHFFFAOYSA-N,C1CN2CCN1CC2,Test,0.600178204,112.175,155.8,95.819,-345.3394573,-345.3419907,-0.002533344,-345.18576,-345.188271,-0.002511,-338.9452796,-338.9541761,-0.008896553,-338.75606,-338.764914,-0.008854,0.0013,0.0025,-0.19036,0.00591,0.18623,0.03145,281.4703979,0,-1.80376,-0.52899,0.23852,-1.05798,20,16416,16624.5,16861.5,0.887417219,0.899328859,0.921042301,2,-57.89848936,-57.89848936,0,741,-0.039223112,0.010853556
IMOPXBPHKARACH-UHFFFAOYSA-N,CCOCN1C(=O)c2ccccc2C1=O,Train,-2.914264861,205.213,88,129.472,-706.2716566,-706.2771473,-0.005490656,-706.106908,-706.112213,-0.005305,-693.1408872,-693.1547699,-0.013882721,-692.940237,-692.95397,-0.013733,3.4526,4.032,-0.27792,-0.09753,0.08279,0.11901,413.4640503,-1.7474,-0.40693,-0.70873,0.71085,-2.29059,26,19970,25636,34482.5,0.534403598,0.635745232,0.958602401,7,-44.31147237,-159.6530852,115.3416128,3159,0.032305328,0.006622298
IOQIWWTVXOPYQR-CBAPKCEASA-N,C[C@H](O)[C@H](NC(=O)c1ccccc1)C(O)=O,Train,-0.649780609,223.229,177,162.334,-782.7067103,-782.7139913,-0.007281055,-782.518658,-782.526751,-0.008093,-768.0990521,-768.1129778,-0.013925652,-767.871918,-767.886165,-0.014247,1.5175,2.0108,-0.26236,-0.05255,0.12777,0.10345,434.8146362,-2.77677,-0.60244,-0.78489,0.81417,-3.43871,29,18802,26802.5,37143.5,0.494699647,0.596074767,0.785403303,5,10.20408196,-164.754355,174.958437,3433,-0.041934885,0.015194398
IPCSVZSSVZVIGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(O)=O,Train,-0.603140172,256.429,63.5,279.863,-779.5023788,-779.5060023,-0.003623431,-779.099683,-779.103786,-0.004103,-764.9257804,-764.9449017,-0.019121289,-764.422692,-764.441168,-0.018476,1.5458,1.7812,-0.28894,-0.0061,0.17422,0.13003,646.3565674,-1.35678,-6.43418,-0.72831,0.82287,-1.35678,50,33637.5,40130,52109.5,0.238636364,0.242674595,0.291316527,5,-18.97128292,-77.47259242,58.50130951,1547,-0.043286548,0.011297931
IPWFJLQDVFKJDU-UHFFFAOYSA-N,CCCCC(N)=O,Train,-1.354883018,101.148,106,103.887,-327.1706997,-327.1757694,-0.005069771,-327.044928,-327.049243,-0.004315,-321.0155378,-321.0224491,-0.006911297,-320.859271,-320.866139,-0.006868,3.8236,4.4093,-0.26026,-0.00911,0.17121,0.10135,304.3465576,-0.6625,-1.49642,-0.87604,0.68015,-1.53854,18,16147,16516.5,22525,0.495192308,0.565217391,0.57113105,2,3.650226392,-109.8326792,113.4829055,2798,0.04055858,0.016815574
IQUPABOKLQSFBK-UHFFFAOYSA-N,Oc1ccccc1[N+]([O-])=O,Test,0.701736567,139.111,91.5,91.045,-511.9990215,-512.0024978,-0.003476316,-511.923792,-511.9274,-0.003608,-502.4414037,-502.4500444,-0.008640696,-502.350659,-502.359383,-0.008724,4.0457,4.6541,-0.26313,-0.11652,0.0638,0.10422,288.390564,-1.513,-0.58213,-0.68627,0.5334,-1.01621,15,12333.5,14606.5,25085.5,0.439393939,0.520710059,0.828652042,6,29.36909606,-92.04534987,121.4144459,3189,0.033123431,0.006847249
IVDVAMTYPIOUEQ-UHFFFAOYSA-N,CC1(C)C2CCC1(C)C(=O)C2C(=O)c3ccccc3,Test,-0.23843404,256.345,90,211.128,-810.3266365,-810.330758,-0.004121506,-810.037848,-810.042102,-0.004254,-795.2569935,-795.2720983,-0.015104824,-794.905482,-794.920396,-0.014914,2.0178,2.3815,-0.25098,-0.06992,0.1104,0.09207,468.9356689,-1.13776,-3.90334,-0.67997,0.63736,-1.13776,39,22972.5,32016,38939,0.603969367,0.614464726,0.942915817,5,-42.44709266,-129.2409546,86.79386195,1960,-0.037239145,0.01269341
